Model,Dataset,Accuracy,Precision,Recall,F1-score
DistilBERT,amazon_electronics (In-domain),0.9204602301150575,0.919196184540898,0.9204602301150575,0.9175753525667462
DistilBERT,sephora_skincare (Cross-domain),0.7764635124298316,0.8182716936737026,0.7764635124298316,0.794009025723733
