Model,Dataset,Accuracy,Precision,Recall,F1-score
BiLSTM,amazon_electronics (In-domain),0.821411,0.737512,0.821411,0.765813
BiLSTM,sephora_skincare (Cross-domain),0.814555,0.72265,0.814555,0.747411
